timestamp_utc,tf_version,depth,base_filters,batch_size,epochs,params,epoch_times_json,avg_time_sec,images_per_sec,test_acc
2025-12-18T07:44:40,2.20.0,2,16,128,3,280218,"[11.061884601134807, 1.1523111218120903, 1.1140555429738015]",1.1331833323929459,44123.48696871042,0.6570000052452087
2025-12-18T07:45:09,2.20.0,2,32,128,3,591274,"[11.235286755021662, 1.349861609051004, 1.3415818950161338]",1.345721752033569,37154.783241367084,0.7113999724388123
2025-12-18T07:45:41,2.20.0,3,16,128,3,204570,"[14.081289618974552, 1.235793718136847, 1.2577508031390607]",1.2467722606379539,40103.55505857644,0.6552000045776367
