timestamp_utc,tf_version,depth,base_filters,batch_size,epochs,params,epoch_times_json,avg_time_sec,images_per_sec,test_acc
2025-12-18T07:44:40,2.20.0,2,16,128,3,280218,"[11.061884601134807, 1.1523111218120903, 1.1140555429738015]",1.1331833323929459,44123.48696871042,0.6570000052452087
2025-12-18T07:45:09,2.20.0,2,32,128,3,591274,"[11.235286755021662, 1.349861609051004, 1.3415818950161338]",1.345721752033569,37154.783241367084,0.7113999724388123
2025-12-18T07:45:41,2.20.0,3,16,128,3,204570,"[14.081289618974552, 1.235793718136847, 1.2577508031390607]",1.2467722606379539,40103.55505857644,0.6552000045776367
2025-12-18T07:46:13,2.20.0,3,32,128,3,550570,"[13.74856100208126, 1.5235425368882716, 1.536393228918314]",1.5299678829032928,32680.42457539642,0.71670001745224
2025-12-18T07:46:41,2.20.0,2,16,256,3,280218,"[10.88566598505713, 0.7621534550562501, 0.7540647368878126]",0.7581090959720314,65953.56824718093,0.6098999977111816
2025-12-18T07:47:10,2.20.0,2,32,256,3,591274,"[11.304205534048378, 0.9905682289972901, 0.990474688122049]",0.9905214585596696,50478.462195766726,0.6592000126838684
2025-12-18T07:47:39,2.20.0,3,16,256,3,204570,"[12.747725606895983, 0.8524070209823549, 0.835973439970985]",0.84419023047667,59228.35658944741,0.6230000257492065
2025-12-18T07:48:11,2.20.0,3,32,256,3,550570,"[13.67415357613936, 1.1081511690281332, 1.1086545852012932]",1.1084028771147132,45109.95147374134,0.6873000264167786
2025-12-18T07:48:40,2.20.0,2,16,512,3,280218,"[12.963097969070077, 0.5937881618738174, 0.5961330528371036]",0.5949606073554605,84039.17735368216,0.5781000256538391
2025-12-18T07:49:11,2.20.0,2,32,512,3,591274,"[13.87905350793153, 0.8096287618391216, 0.8064861979801208]",0.8080574799096212,61876.78629692575,0.6104000210762024
2025-12-18T07:49:41,2.20.0,3,16,512,3,204570,"[12.071714717894793, 0.6521921372041106, 1.2587617149110883]",0.9554769260575995,52329.88744825621,0.5703999996185303
2025-12-18T07:50:15,2.20.0,3,32,512,3,550570,"[15.958660386968404, 0.9137465232051909, 0.9129965121392161]",0.9133715176722035,54742.2369020536,0.6216999888420105
2025-12-18T07:55:22,2.20.0,2,16,64,3,280218,"[11.09759732382372, 1.92492534709163, 1.8560304488055408]",1.8904778979485855,26448.33883234314,0.699400007724762
2025-12-18T07:55:53,2.20.0,2,32,64,3,591274,"[11.26721073500812, 2.048676528967917, 2.0505349438171834]",2.04960573639255,24394.935626987222,0.7099000215530396
2025-12-18T07:56:24,2.20.0,2,64,64,3,1310154,"[11.116184581071138, 2.456865819171071, 2.4865774989593774]",2.4717216590652242,20228.814930120167,0.742900013923645
2025-12-18T07:56:57,2.20.0,3,16,64,3,204570,"[13.043519505066797, 2.1065792629960924, 2.0625264830887318]",2.084552873042412,23985.959121787506,0.690500020980835
2025-12-18T07:57:30,2.20.0,3,32,64,3,550570,"[13.108999307034537, 2.370261785108596, 2.3662084150128067]",2.3682351000607014,21112.768744420024,0.7335000038146973
2025-12-18T07:58:06,2.20.0,3,64,64,3,1671114,"[14.658109279116616, 3.0580281920265406, 3.0692634750157595]",3.06364583352115,16320.424330032083,0.734000027179718
2025-12-18T07:58:42,2.20.0,4,16,64,3,360474,"[15.400182421086356, 2.395723919151351, 2.341140653938055]",2.368432286544703,21111.01097719995,0.6913999915122986
2025-12-18T07:59:19,2.20.0,4,32,64,3,1304746,"[15.769695948110893, 2.7234774730168283, 2.7438575939740986]",2.7336675334954634,18290.44658406811,0.6470000147819519
2025-12-18T08:00:00,2.20.0,4,64,64,3,4948938,"[17.346160138957202, 3.9117969209328294, 3.886725307907909]",3.8992611144203693,12822.942227461617,0.6976000070571899
2025-12-18T08:00:33,2.20.0,2,16,1024,3,280218,"[15.855995482066646, 0.5137124890461564, 0.5111992009915411]",0.5124558450188488,97569.3818033453,0.5236999988555908
2025-12-18T08:01:09,2.20.0,2,32,1024,3,591274,"[17.815082484856248, 0.7168053090572357, 0.711455772863701]",0.7141305409604684,70015.21029019794,0.5313000082969666
2025-12-18T08:01:50,2.20.0,2,64,1024,3,1310154,"[21.516122726956382, 1.0872240359894931, 1.0877404927741736]",1.0874822643818334,45977.76132783362,0.5875999927520752
2025-12-18T08:02:24,2.20.0,3,16,1024,3,204570,"[16.814184536924586, 0.5635110968723893, 0.5657080539967865]",0.5646095754345879,88556.7694481878,0.4966999888420105
2025-12-18T08:03:02,2.20.0,3,32,1024,3,550570,"[19.83522783895023, 0.8038409969303757, 0.8011017609387636]",0.8024713789345697,62307.518140253575,0.5217999815940857
2025-12-18T08:03:49,2.20.0,3,64,1024,3,1671114,"[26.6259354329668, 1.310411101905629, 1.3134291518945247]",1.3119201269000769,38112.0763183537,0.48820000886917114
2025-12-18T08:04:22,2.20.0,4,16,1024,3,360474,"[16.134983910946175, 0.6033028168603778, 0.6003205571323633]",0.6018116869963706,83082.46762296848,0.4611999988555908
2025-12-18T08:05:02,2.20.0,4,32,1024,3,1304746,"[21.84954182896763, 0.8833738910034299, 0.8802907071076334]",0.8818322990555316,56700.12320205494,0.42480000853538513
2025-12-18T08:05:55,2.20.0,4,64,1024,3,4948938,"[31.735131627181545, 1.5138275891076773, 1.5113865118473768]",1.512607050477527,33055.51166392825,0.44909998774528503
2025-12-18T08:06:31,2.20.0,2,16,2048,3,280218,"[18.03702596994117, 0.47237247601151466, 0.4656235948204994]",0.46899803541600704,106610.25467974377,0.46560001373291016
2025-12-18T08:07:10,2.20.0,2,32,2048,3,591274,"[20.116605525137857, 0.6781989419832826, 0.671906909905374]",0.6750529259443283,74068.26646970716,0.49799999594688416
2025-12-18T08:07:56,2.20.0,2,64,2048,3,1310154,"[25.493544209050015, 1.0363840709906071, 1.0358051860239357]",1.0360946285072714,48258.14035155872,0.5087000131607056
2025-12-18T08:08:34,2.20.0,3,16,2048,3,204570,"[20.07296000700444, 0.5189441030379385, 0.5081451588775963]",0.5135446309577674,97362.5211634466,0.4453999996185303
2025-12-18T08:09:17,2.20.0,3,32,2048,3,550570,"[23.336473606992513, 0.7474621539004147, 0.7454781380947679]",0.7464701459975913,66981.91517516004,0.4625000059604645
2025-12-18T08:10:12,2.20.0,3,64,2048,3,1671114,"[32.658630565041676, 1.2552976310253143, 1.2495123399421573]",1.2524049854837358,39923.18824943652,0.4569999873638153
2025-12-18T08:10:49,2.20.0,4,16,2048,3,360474,"[19.04958930495195, 0.5452037251088768, 0.5498223570175469]",0.5475130410632119,91322.02568710572,0.42160001397132874
2025-12-18T08:11:35,2.20.0,4,32,2048,3,1304746,"[25.829351168125868, 0.8124148228671402, 0.8120440109632909]",0.8122294169152156,61558.96223248861,0.35120001435279846
2025-12-18T08:12:39,2.20.0,4,64,2048,3,4948938,"[40.448607460130006, 1.4261881478596479, 1.421175569994375]",1.4236818589270115,35120.20588482007,0.3515999913215637
2025-12-18T08:41:57,2.20.0,2,16,32,3,280218,"[11.814516387879848, 3.5418352209962904, 3.4580547681543976]",3.499944994575344,14285.938801180106,0.7069000005722046
2025-12-18T08:42:32,2.20.0,2,32,32,3,591274,"[12.176374059868976, 3.708486631978303, 3.695526679046452]",3.7020066555123776,13506.188576281675,0.7387999892234802
2025-12-18T08:43:09,2.20.0,2,64,32,3,1310154,"[12.901438130997121, 4.092447526985779, 4.081747655989602]",4.087097591487691,12233.620284511033,0.728600025177002
