depth,base_filters,batch_size,params,n,steps_per_epoch,avg_time_mean,avg_time_std,thr_mean,thr_std,acc_mean,acc_std
2,16,32,280218,1,1563,3.499944994575344,0.0,14285.938801180106,0.0,0.7069000005722046,0.0
2,16,64,280218,1,782,1.8904778979485855,0.0,26448.33883234314,0.0,0.699400007724762,0.0
2,16,96,280218,1,521,1.370721636340022,0.0,36477.13633054302,0.0,0.6809999942779541,0.0
2,16,128,280218,1,391,1.1331833323929459,0.0,44123.48696871042,0.0,0.6570000052452087,0.0
2,16,192,280218,1,261,0.8864730410277843,0.0,56403.29450067605,0.0,0.6427000164985657,0.0
2,16,256,280218,1,196,0.7581090959720314,0.0,65953.56824718093,0.0,0.6098999977111816,0.0
2,16,384,280218,1,131,0.6492047830251977,0.0,77017.30071520335,0.0,0.5681999921798706,0.0
2,16,512,280218,1,98,0.5949606073554605,0.0,84039.17735368216,0.0,0.5781000256538391,0.0
2,16,768,280218,1,66,0.5378931484883651,0.0,92955.26470362082,0.0,0.5293999910354614,0.0
2,16,1024,280218,1,49,0.5124558450188488,0.0,97569.3818033453,0.0,0.5236999988555908,0.0
2,16,1536,280218,1,33,0.4855123698944226,0.0,102983.98784540295,0.0,0.4885999858379364,0.0
2,16,2048,280218,4,25,0.4732293233682867,0.003155327166318584,105660.55327065736,706.5930554533263,0.4670250043272972,0.0009742445069391924
2,32,32,591274,1,1563,3.7020066555123776,0.0,13506.188576281675,0.0,0.7387999892234802,0.0
2,32,64,591274,1,782,2.04960573639255,0.0,24394.935626987222,0.0,0.7099000215530396,0.0
2,32,96,591274,1,521,1.5643422325374559,0.0,31962.315508734322,0.0,0.7172999978065491,0.0
2,32,128,591274,1,391,1.345721752033569,0.0,37154.783241367084,0.0,0.7113999724388123,0.0
2,32,192,591274,1,261,1.092396073974669,0.0,45770.94443233913,0.0,0.6748999953269958,0.0
2,32,256,591274,1,196,0.9905214585596696,0.0,50478.462195766726,0.0,0.6592000126838684,0.0
2,32,384,591274,1,131,0.8708359424490482,0.0,57416.095917429884,0.0,0.6324999928474426,0.0
2,32,512,591274,1,98,0.8080574799096212,0.0,61876.78629692575,0.0,0.6104000210762024,0.0
2,32,768,591274,1,66,0.7475671684369445,0.0,66883.62211591343,0.0,0.5415999889373779,0.0
2,32,1024,591274,1,49,0.7141305409604684,0.0,70015.21029019794,0.0,0.5313000082969666,0.0
2,32,1536,591274,1,33,0.6840168624185026,0.0,73097.61315417464,0.0,0.5113999843597412,0.0
2,32,2048,591274,1,25,0.6750529259443283,0.0,74068.26646970716,0.0,0.49799999594688416,0.0
2,64,32,1310154,1,1563,4.087097591487691,0.0,12233.620284511033,0.0,0.728600025177002,0.0
2,64,64,1310154,1,782,2.4717216590652242,0.0,20228.814930120167,0.0,0.742900013923645,0.0
2,64,96,1310154,1,521,1.9449859209125862,0.0,25707.126957782828,0.0,0.7523000240325928,0.0
2,64,192,1310154,1,261,1.4745741449296474,0.0,33908.09487059433,0.0,0.7271000146865845,0.0
2,64,384,1310154,1,131,1.241701313876547,0.0,40267.33276451306,0.0,0.6712999939918518,0.0
2,64,768,1310154,1,66,1.1153319381410256,0.0,44829.703418461475,0.0,0.6301000118255615,0.0
2,64,1024,1310154,4,49,1.083651408116566,0.002555529870909674,46140.491018986286,108.55617831486047,0.5921999961137772,0.005114025726508741
2,64,1536,1310154,1,33,1.0477116199908778,0.0,47723.055701563506,0.0,0.5586000084877014,0.0
2,64,2048,1310154,1,25,1.0360946285072714,0.0,48258.14035155872,0.0,0.5087000131607056,0.0
2,128,32,3134986,1,1563,5.452093942440115,0.0,9170.788421452295,0.0,0.7305999994277954,0.0
2,128,96,3134986,1,521,3.1758800530806184,0.0,15743.667633637413,0.0,0.7447999715805054,0.0
2,128,192,3134986,1,261,2.6333418174181134,0.0,18987.28059884873,0.0,0.7465999722480774,0.0
2,128,384,3134986,1,131,2.354306121589616,0.0,21237.6799862544,0.0,0.6574000120162964,0.0
2,128,768,3134986,1,66,2.216568276518956,0.0,22557.39222187339,0.0,0.6456999778747559,0.0
2,128,1536,3134986,1,33,2.1477966754464433,0.0,23279.671009643847,0.0,0.5364999771118164,0.0
3,16,32,204570,1,1563,3.892694670939818,0.0,12844.572777121622,0.0,0.6947000026702881,0.0
3,16,64,204570,1,782,2.084552873042412,0.0,23985.959121787506,0.0,0.690500020980835,0.0
3,16,96,204570,1,521,1.5304597241338342,0.0,32669.922123104265,0.0,0.6708999872207642,0.0
3,16,128,204570,1,391,1.2467722606379539,0.0,40103.55505857644,0.0,0.6552000045776367,0.0
3,16,192,204570,1,261,0.9641428474569693,0.0,51859.53526687502,0.0,0.6301000118255615,0.0
3,16,256,204570,1,196,0.84419023047667,0.0,59228.35658944741,0.0,0.6230000257492065,0.0
3,16,384,204570,1,131,0.7064831065945327,0.0,70773.10063508168,0.0,0.5662999749183655,0.0
3,16,512,204570,1,98,0.9554769260575995,0.0,52329.88744825621,0.0,0.5703999996185303,0.0
3,16,768,204570,1,66,0.5928101694444194,0.0,84344.03216608093,0.0,0.49959999322891235,0.0
3,16,1024,204570,1,49,0.5646095754345879,0.0,88556.7694481878,0.0,0.4966999888420105,0.0
3,16,1536,204570,1,33,0.5323519920930266,0.0,93922.81938011922,0.0,0.4828000068664551,0.0
3,16,2048,204570,1,25,0.5135446309577674,0.0,97362.5211634466,0.0,0.4453999996185303,0.0
3,32,32,550570,1,1563,4.141182741965167,0.0,12073.845351792632,0.0,0.7265999913215637,0.0
3,32,64,550570,1,782,2.3682351000607014,0.0,21112.768744420024,0.0,0.7335000038146973,0.0
3,32,96,550570,1,521,1.7629778065020218,0.0,28361.105747103265,0.0,0.7394000291824341,0.0
3,32,128,550570,1,391,1.5299678829032928,0.0,32680.42457539642,0.0,0.71670001745224,0.0
3,32,192,550570,1,261,1.2344054074492306,0.0,40505.33131033488,0.0,0.6905999779701233,0.0
3,32,256,550570,1,196,1.1084028771147132,0.0,45109.95147374134,0.0,0.6873000264167786,0.0
3,32,384,550570,1,131,0.9692907284479588,0.0,51584.11045575631,0.0,0.6376000046730042,0.0
3,32,512,550570,4,98,0.9159174090018496,0.010617923891762282,54595.5204616532,626.321992766711,0.6060249954462051,0.012535117603540225
3,32,768,550570,1,66,0.8592899149516597,0.0,58187.57922093477,0.0,0.5432000160217285,0.0
3,32,1024,550570,1,49,0.8024713789345697,0.0,62307.518140253575,0.0,0.5217999815940857,0.0
3,32,1536,550570,1,33,0.7746030754642561,0.0,64549.18858930768,0.0,0.5062000155448914,0.0
3,32,2048,550570,1,25,0.7464701459975913,0.0,66981.91517516004,0.0,0.4625000059604645,0.0
3,64,32,1671114,1,1563,4.92518053506501,0.0,10151.912126677002,0.0,0.722599983215332,0.0
3,64,64,1671114,1,782,3.06364583352115,0.0,16320.424330032083,0.0,0.734000027179718,0.0
3,64,96,1671114,1,521,2.3900093804113567,0.0,20920.41998236603,0.0,0.7382000088691711,0.0
3,64,192,1671114,1,261,1.7840824585873634,0.0,28025.61045277582,0.0,0.7192000150680542,0.0
3,64,256,1671114,3,196,1.6588291414858152,0.007980439378437575,30142.206669302435,144.88194637321604,0.7142333388328552,0.01120953085325372
3,64,384,1671114,1,131,1.5057021854445338,0.0,33207.0979794974,0.0,0.6468999981880188,0.0
3,64,768,1671114,1,66,1.362461901619099,0.0,36698.27386775502,0.0,0.5809999704360962,0.0
3,64,1024,1671114,1,49,1.3119201269000769,0.0,38112.0763183537,0.0,0.48820000886917114,0.0
3,64,1536,1671114,1,33,1.2781012449413538,0.0,39120.531489893256,0.0,0.498199999332428,0.0
3,64,2048,1671114,1,25,1.2524049854837358,0.0,39923.18824943652,0.0,0.4569999873638153,0.0
3,128,32,5626378,1,1563,7.425883359508589,0.0,6733.205677944929,0.0,0.10000000149011612,0.0
3,128,96,5626378,1,521,4.243623086367734,0.0,11782.384764712164,0.0,0.7515000104904175,0.0
3,128,192,5626378,1,261,3.496154847438447,0.0,14301.426047142579,0.0,0.7192000150680542,0.0
3,128,384,5626378,1,131,3.1274417858803645,0.0,15987.507817327818,0.0,0.6563000082969666,0.0
3,128,768,5626378,1,66,2.93019437242765,0.0,17063.714431536253,0.0,0.5135999917984009,0.0
3,128,1536,5626378,1,33,2.8549660665448755,0.0,17513.34300813977,0.0,0.48420000076293945,0.0
4,16,32,360474,1,1563,4.303749278536998,0.0,11617.777143606478,0.0,0.6328999996185303,0.0
4,16,64,360474,1,782,2.368432286544703,0.0,21111.01097719995,0.0,0.6913999915122986,0.0
4,16,96,360474,1,521,1.6940997769124806,0.0,29514.20021501075,0.0,0.6541000008583069,0.0
4,16,192,360474,1,261,1.0673588854260743,0.0,46844.599958561004,0.0,0.6298999786376953,0.0
4,16,384,360474,1,131,0.7711987805087119,0.0,64834.1274178599,0.0,0.5799999833106995,0.0
4,16,768,360474,1,66,0.6321822555037215,0.0,79091.11583677733,0.0,0.47699999809265137,0.0
4,16,1024,360474,1,49,0.6018116869963706,0.0,83082.46762296848,0.0,0.4611999988555908,0.0
4,16,1536,360474,1,33,0.56482277601026,0.0,88523.34240694952,0.0,0.44110000133514404,0.0
4,16,2048,360474,1,25,0.5475130410632119,0.0,91322.02568710572,0.0,0.42160001397132874,0.0
4,32,32,1304746,1,1563,4.795901346951723,0.0,10425.568914544087,0.0,0.6800000071525574,0.0
4,32,64,1304746,1,782,2.7336675334954634,0.0,18290.44658406811,0.0,0.6470000147819519,0.0
4,32,96,1304746,1,521,2.065988067886792,0.0,24201.49505081256,0.0,0.6917999982833862,0.0
4,32,192,1304746,1,261,1.4086671089753509,0.0,35494.54635621432,0.0,0.6632000207901001,0.0
4,32,384,1304746,1,131,1.0823274315334857,0.0,46196.740970667226,0.0,0.5831999778747559,0.0
4,32,768,1304746,1,66,0.9257466694107279,0.0,54010.45626426812,0.0,0.39149999618530273,0.0
4,32,1024,1304746,1,49,0.8818322990555316,0.0,56700.12320205494,0.0,0.42480000853538513,0.0
4,32,1536,1304746,1,33,0.8369392715394497,0.0,59741.491049919285,0.0,0.41769999265670776,0.0
